COMMAND     PID        USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
ControlCe 13531 hamid.jemei    9u  IPv4 0x75628067719db043      0t0  TCP *:7000 (LISTEN)
ControlCe 13531 hamid.jemei   10u  IPv6 0x709c76327a5afc34      0t0  TCP *:7000 (LISTEN)
ControlCe 13531 hamid.jemei   11u  IPv4 0x29cb8d6bdb119a94      0t0  TCP *:5000 (LISTEN)
ControlCe 13531 hamid.jemei   12u  IPv6 0xc02a1861aa4a0ad3      0t0  TCP *:5000 (LISTEN)
rapportd  13598 hamid.jemei   10u  IPv4 0xfec82dcb10349866      0t0  TCP *:62080 (LISTEN)
rapportd  13598 hamid.jemei   11u  IPv6 0xab7ca68dfc0db5d0      0t0  TCP *:62080 (LISTEN)
idea      13806 hamid.jemei   60u  IPv6 0xa4e48069d6fc6541      0t0  TCP 127.0.0.1:63342 (LISTEN)
idea      13806 hamid.jemei  349u  IPv6 0xaf18b01b7d1e3a02      0t0  TCP 127.0.0.1:64442 (LISTEN)
idea      13806 hamid.jemei  352u  IPv6 0x4311db149b9555ef      0t0  TCP 127.0.0.1:56633 (LISTEN)
idea      13806 hamid.jemei  401u  IPv6 0x316702c11215a0c1      0t0  TCP 127.0.0.1:56636 (LISTEN)
idea      13806 hamid.jemei  533u  IPv6 0xa8fa94b7bb6016d9      0t0  TCP 127.0.0.1:6189 (LISTEN)
idea      13806 hamid.jemei  608u  IPv6 0xe5406a5f910d28e3      0t0  TCP *:56748 (LISTEN)
idea      13806 hamid.jemei  613u  IPv6 0xee0d148965ee48ca      0t0  TCP 127.0.0.1:56720 (LISTEN)
idea      13806 hamid.jemei  621u  IPv6 0x2e221fd7651585ee      0t0  TCP 127.0.0.1:56736 (LISTEN)
idea      13806 hamid.jemei  626u  IPv6 0x3c507c55c6580277      0t0  TCP 127.0.0.1:56745 (LISTEN)
idea      13806 hamid.jemei  695u  IPv6 0xe91c188f63a7d7e4      0t0  TCP 127.0.0.1:57439 (LISTEN)
idea      13806 hamid.jemei 1013u  IPv6 0x39f9afde29fb7deb      0t0  TCP 127.0.0.1:64023 (LISTEN)
java      14300 hamid.jemei   88u  IPv6 0xba6bfac1cbbfd6a8      0t0  TCP 127.0.0.1:56631 (LISTEN)
java      14300 hamid.jemei  134u  IPv6 0x668e23528ed1d82a      0t0  TCP 127.0.0.1:64120 (LISTEN)
cef_serve 14306 hamid.jemei   41u  IPv4 0xe85b730eef8f1e2c      0t0  TCP 127.0.0.1:56682 (LISTEN)
cef_serve 14306 hamid.jemei   60u  IPv4 0x858ed585c858dfd8      0t0  TCP 127.0.0.1:6188 (LISTEN)
adb       14354 hamid.jemei    8u  IPv4 0xcdf645298e33e62b      0t0  TCP 127.0.0.1:5037 (LISTEN)
node      15460 hamid.jemei   15u  IPv4  0x96a00e7aacb7532      0t0  TCP 127.0.0.1:56758 (LISTEN)
com.docke 16994 hamid.jemei  107u  IPv6 0xda99b893e7abaabe      0t0  TCP *:4566 (LISTEN)
com.docke 16994 hamid.jemei  137u  IPv6 0x4a5519fc1928fb0d      0t0  TCP *:3001 (LISTEN)
com.docke 16994 hamid.jemei  159u  IPv6 0x6e303f051bb9b4b7      0t0  TCP *:8090 (LISTEN)
com.docke 16994 hamid.jemei  165u  IPv6 0x941614262459de90      0t0  TCP *:7337 (LISTEN)
com.docke 16994 hamid.jemei  185u  IPv6  0xca1e64652893de0      0t0  TCP *:8474 (LISTEN)
com.docke 16994 hamid.jemei  192u  IPv6 0xe049480e066d1bdc      0t0  TCP *:6379 (LISTEN)
com.docke 16994 hamid.jemei  216u  IPv6 0x32fd009dd184ea95      0t0  TCP *:8087 (LISTEN)
com.docke 16994 hamid.jemei  217u  IPv6 0x7346b2eb488f0d58      0t0  TCP *:8089 (LISTEN)
com.docke 16994 hamid.jemei  219u  IPv6 0x1660aa76cc006ed9      0t0  TCP *:8086 (LISTEN)
com.docke 16994 hamid.jemei  230u  IPv6 0xb185ff7616f35971      0t0  TCP *:8088 (LISTEN)
com.docke 16994 hamid.jemei  247u  IPv6 0xbda40fe272a83892      0t0  TCP *:27017 (LISTEN)
com.docke 16994 hamid.jemei  251u  IPv6 0x1984480db070d0b2      0t0  TCP *:3007 (LISTEN)
full-line 28530 hamid.jemei    9u  IPv6 0x97c31a306232e952      0t0  TCP [::1]:63921 (LISTEN)
full-line 28530 hamid.jemei   10u  IPv6 0xb35c45f3d39aa47d      0t0  TCP 127.0.0.1:63921 (LISTEN)
full-line 58770 hamid.jemei    9u  IPv6 0x3f097f1b91ac665f      0t0  TCP [::1]:53240 (LISTEN)
full-line 58770 hamid.jemei   10u  IPv6  0x36d6d902b5dcf09      0t0  TCP 127.0.0.1:53240 (LISTEN)
