Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest
Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$FilesListMapping
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$InstantConversion
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$FullFieldMapping
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentDtoTest$NullGuard
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.016 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$DateOfIssueJsonRoundTrip
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$BuilderAndConstructor
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$DocumentTypeJsonSerialisation
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$FilesDefaultToEmptyList
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$ScanStatusJsonSerialisation
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.AccompanyingDocumentTest$FileStatusJsonSerialisation
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.261 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.141 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$Delete
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in uk.gov.defra.trade.imports.animals.accompanyingdocument.DocumentControllerTest$GetByUploadId
